dispnum,ccode1,ccode2,year,sidea1,sidea2,revstate1,revstate2,revtype11,revtype12,revtype21,revtype22,fatality1,fatality2,fatalpre1,fatalpre2,hiact1,hiact2,hostlev1,hostlev2,orig1,orig2,midongoing,midonset,hiact,hostlev,mindur,maxdur,outcome,settle,fatality,fatalpre,stmon,endmon,version
23,365,366,1939,1,0,1,0,2,0,-9,-9,0,0,0,0,13,0,4,1,1,1,1,1,13,4,9,9,2,1,0,0,9,9,gml-2.0
25,200,210,1831,0,1,0,1,0,1,-9,-9,0,-9,0,-9,7,17,3,4,0,1,1,1,17,4,658,658,2,1,-9,-9,8,5,gml-2.0
25,200,210,1832,0,1,0,1,0,1,-9,-9,0,-9,0,-9,7,17,3,4,0,1,1,0,17,4,658,658,2,1,-9,-9,8,5,gml-2.0
25,210,211,1831,1,0,1,0,1,0,-9,-9,-9,-9,-9,-9,17,17,4,4,1,1,1,1,17,4,658,658,2,1,-9,-9,8,5,gml-2.0
25,210,211,1832,1,0,1,0,1,0,-9,-9,-9,-9,-9,-9,17,17,4,4,1,1,1,0,17,4,658,658,2,1,-9,-9,8,5,gml-2.0
25,210,220,1831,1,0,1,0,1,0,-9,-9,-9,-9,-9,-9,17,16,4,4,1,0,1,1,17,4,658,658,2,1,-9,-9,8,5,gml-2.0
26,2,365,1948,0,1,0,1,0,1,-9,-9,0,0,0,0,7,16,3,4,1,1,1,1,13,4,491,491,5,3,0,0,3,7,gml-2.0
26,2,365,1949,0,1,0,1,0,1,-9,-9,0,0,0,0,7,16,3,4,1,1,1,0,13,4,491,491,5,3,0,0,3,7,gml-2.0
26,200,365,1948,0,1,0,1,0,1,-9,-9,0,0,0,0,7,16,3,4,1,1,1,1,13,4,491,491,5,3,0,0,3,7,gml-2.0
26,200,365,1949,0,1,0,1,0,1,-9,-9,0,0,0,0,7,16,3,4,1,1,1,0,13,4,491,491,5,3,0,0,3,7,gml-2.0
26,220,365,1948,0,1,0,1,0,1,-9,-9,0,0,0,0,0,16,1,4,1,1,1,1,13,4,491,491,5,3,0,0,3,7,gml-2.0
26,220,365,1949,0,1,0,1,0,1,-9,-9,0,0,0,0,0,16,1,4,1,1,1,0,13,4,491,491,5,3,0,0,3,7,gml-2.0
27,2,200,1961,0,1,0,0,0,0,-9,-9,0,0,0,0,7,7,3,3,1,0,1,1,11,3,95,95,5,3,0,0,7,10,gml-2.0
27,2,220,1961,0,1,0,0,0,0,-9,-9,0,0,0,0,7,7,3,3,1,0,1,1,11,3,95,95,5,3,0,0,7,10,gml-2.0
27,2,260,1961,0,1,0,0,0,0,-9,-9,0,0,0,0,7,17,3,4,1,0,1,1,11,3,95,95,5,3,0,0,7,10,gml-2.0
27,2,265,1961,0,1,0,1,0,2,-9,-9,0,0,0,0,7,13,3,4,1,0,1,1,11,3,95,95,5,3,0,0,7,10,gml-2.0
27,2,290,1961,0,1,0,0,0,0,-9,-9,0,0,0,0,7,7,3,3,1,0,1,1,11,3,95,95,5,3,0,0,7,10,gml-2.0
27,2,315,1961,0,1,0,0,0,0,-9,-9,0,0,0,0,7,7,3,3,1,0,1,1,11,3,95,95,5,3,0,0,7,10,gml-2.0
27,2,365,1961,0,1,0,1,0,2,-9,-9,0,0,0,0,7,13,3,4,1,1,1,1,11,3,95,95,5,3,0,0,7,10,gml-2.0
28,220,616,1961,0,1,0,1,0,2,-9,-9,1,3,-9,-9,17,13,4,4,1,1,1,1,17,4,74,74,6,1,3,-9,7,9,gml-2.0
30,300,345,1908,1,0,0,1,0,1,-9,-9,-9,-9,-9,-9,14,0,4,1,1,1,1,1,17,4,176,176,4,1,-9,-9,10,3,gml-2.0
30,300,345,1909,1,0,0,1,0,1,-9,-9,-9,-9,-9,-9,14,0,4,1,1,1,1,0,17,4,176,176,4,1,-9,-9,10,3,gml-2.0
31,2,710,1900,1,0,0,0,0,0,-9,-9,2,6,-9,-9,20,20,5,5,1,1,1,1,20,5,231,231,1,1,6,-9,5,1,gml-2.0
31,2,710,1901,1,0,0,0,0,0,-9,-9,2,6,-9,-9,20,20,5,5,1,1,1,0,20,5,231,231,1,1,6,-9,5,1,gml-2.0
31,200,710,1900,1,0,1,0,2,0,-9,-9,2,6,-9,-9,20,20,5,5,1,1,1,1,20,5,231,231,1,1,6,-9,5,1,gml-2.0
31,200,710,1901,1,0,1,0,2,0,-9,-9,2,6,-9,-9,20,20,5,5,1,1,1,0,20,5,231,231,1,1,6,-9,5,1,gml-2.0
31,220,710,1900,1,0,0,0,0,0,-9,-9,2,6,-9,-9,20,20,5,5,1,1,1,1,20,5,231,231,1,1,6,-9,5,1,gml-2.0
31,220,710,1901,1,0,0,0,0,0,-9,-9,2,6,-9,-9,20,20,5,5,1,1,1,0,20,5,231,231,1,1,6,-9,5,1,gml-2.0
